,PSDB
Fernando Francischini e Abelardo Camarinha,SDD
Bohn Gass,PT
Assis Carvalho,PT
Rebecca Garcia,PP**
Jackson Barreto,
Silas Brasileiro,
Carlos Zarattini,PT
Célio Moura,PT
Luiz Piauhylino,
Hugo Leal,PSD
Vanderlei Assis,
Onofre Santo Agostini,PSD
Carlos Batata,
Zenaldo Coutinho,PSDB
Ruy Carneiro,PSDB
Júlio César,
Júlio Semeghini,
Jovair Arantes,PTB
Paulo Ganime,NOVO
Ricardo Izar,
Moses Rodrigues,MDB
Túlio Gadêlha,PDT
Ribamar Alves,
Rosangela Gomes,
Heitor Schuch,PSB
Bilac Pinto,DEM
Cleber Verde,
Padre Ton,PT
Delegado Protógenes,PCdoB
Jones Martins (*) e Cajar Nardes,MDB
Roman,PATRIOTA
Rose de Freitas,
Zé Geraldo,
Arthur Oliveira Maia,SDD
Leda Sadala,AVANTE
Aureo,SDD
Marcelo Almeida,
Paulo Lima,
Paulo Rubem Santiago e Antonio Carlos Biscaia,
Pedro Uczai,PT
Fábio Trad,PSD
Mandetta,DEM
Dagoberto Nogueira,PDT
Paulo Rocha,
Dra. Elaine Abissamra,PSB
Walter Feldman,PSB
Keiko Ota,PSB
João H. Campos  (*),PSB
Bira do Pindaré,PSB
Danilo Forte,PSDB
Dep. Ricardo Izar,
Wilson Santiago,
Daniel Vilela,MDB
Luciano Ducci,PSB
Beto Rosado,
Paulo Foletto,PSB
Marcelo Aro,PP
Davidson Magalhães (*) e Sen. Roberto Requião,PCdoB
Capitão Alberto Neto,REPUBLICANOS
Fausto Pinato e Mário Negromonte Jr.,PP
Ronaldo Fonseca (*) e Walney Rocha,PODE
General Girão,PSL
Sarney Filho,
Maria Rosas,REPUBLICANOS
Walter Ihoshi,PSD
Augusto Coutinho,SOLIDARIEDADE
Jorginho Mello,PR
Jean Wyllys,PSOL
Roberto de Lucena,PODE
Capitão Augusto,PL
Raquel Muniz,PSD
Vitor Lippi,PSDB
Rodrigo Rocha Loures,
Baleia Rossi,MDB
Sergio Vidigal  (*),PDT
Ana Perugini,PT
Nelson Trad,
Osmar Terra,PMDB
Antonio Carlos Pannunzio,
Dra. Clair,
Vilson Covatti,PP**
Celso Pansera,PODE
Rodovalho,
João Dado,SDD
Senador Cristovam Buarque e Deputado André Figueiredo,PSDB
Marcelo Ortiz (*),MDB
Evandro Gussi,PV
Renato Amary,
Humberto Michiles,
Bia Kicis,PSL
Armando Vergílio,SDD
Hiran Gonçalves,PP
Francisco Praciano,PT
Guiga Peixoto,PODE
Thiago Peixoto,PSD
André Moura,PSC
Mauro Passos e Ivan Valente,
Darci de Matos,PSD
Luiz Carlos Ramos,PR
Chico Lopes,PCdoB
Fábio Faria,PSD
Danrlei de Deus Hinterholz,PP
Lucas Redecker,PSDB
